sepal_length,sepal_width,petal_length,petal_width,species,stigma_length
5.1,3.5,1.4,0.2,setosa,0.346369125
4.9,3,1.4,0.2,setosa,0.716962013
4.7,3.2,1.3,0.2,setosa,0.193215181
4.6,3.1,1.5,0.2,setosa,0.032100918
5,3.6,1.4,0.2,setosa,0.848972124
5.4,3.9,1.7,0.4,setosa,0.864953793
4.6,3.4,1.4,0.3,setosa,0.503606881
5,3.4,1.5,0.2,setosa,0.962565691
4.4,2.9,1.4,0.2,setosa,0.142537792
4.9,3.1,1.5,0.1,setosa,0.498343359
5.4,3.7,1.5,0.2,setosa,0.684707989
4.8,3.4,1.6,0.2,setosa,0.63257612
4.8,3,1.4,0.1,setosa,0.602765977
4.3,3,1.1,0.1,setosa,0.020921834
5.8,4,1.2,0.2,setosa,0.385950672
5.7,4.4,1.5,0.4,setosa,0.58619408
5.4,3.9,1.3,0.4,setosa,0.457733382
5.1,3.5,1.4,0.3,setosa,0.867349043
5.7,3.8,1.7,0.3,setosa,0.31820035
5.1,3.8,1.5,0.3,setosa,0.436475995
5.4,3.4,1.7,0.2,setosa,0.765584567
5.1,3.7,1.5,0.4,setosa,0.364099485
4.6,3.6,1,0.2,setosa,0.938736697
5.1,3.3,1.7,0.5,setosa,0.490469018
4.8,3.4,1.9,0.2,setosa,0.939918069
5,3,1.6,0.2,setosa,0.784879073
5,3.4,1.6,0.4,setosa,0.489934588
5.2,3.5,1.5,0.2,setosa,0.442618682
5.2,3.4,1.4,0.2,setosa,0.209842222
4.7,3.2,1.6,0.2,setosa,0.084125425
4.8,3.1,1.6,0.2,setosa,0.094399025
5.4,3.4,1.5,0.4,setosa,0.771726927
5.2,4.1,1.5,0.1,setosa,0.37046183
5.5,4.2,1.4,0.2,setosa,0.47454671
4.9,3.1,1.5,0.1,setosa,0.880705394
5,3.2,1.2,0.2,setosa,0.913271145
5.5,3.5,1.3,0.2,setosa,0.042849004
4.9,3.1,1.5,0.1,setosa,0.857072546
4.4,3,1.3,0.2,setosa,0.666293788
5.1,3.4,1.5,0.2,setosa,0.23963345
5,3.5,1.3,0.3,setosa,0.813111563
4.5,2.3,1.3,0.3,setosa,0.965873302
4.4,3.2,1.3,0.2,setosa,0.959515478
5,3.5,1.6,0.6,setosa,0.691574338
5.1,3.8,1.9,0.4,setosa,0.140315291
4.8,3,1.4,0.3,setosa,0.525882533
5.1,3.8,1.6,0.2,setosa,0.455457828
4.6,3.2,1.4,0.2,setosa,0.661943143
5.3,3.7,1.5,0.2,setosa,0.487071249
5,3.3,1.4,0.2,setosa,0.99110114
7,3.2,4.7,1.4,versicolor,0.770771024
6.4,3.2,4.5,1.5,versicolor,0.270327988
6.9,3.1,4.9,1.5,versicolor,0.580521389
5.5,2.3,4,1.3,versicolor,0.409802882
6.5,2.8,4.6,1.5,versicolor,0.809623348
5.7,2.8,4.5,1.3,versicolor,0.900329443
6.3,3.3,4.7,1.6,versicolor,0.725717168
4.9,2.4,3.3,1,versicolor,0.528172422
6.6,2.9,4.6,1.3,versicolor,0.008370081
5.2,2.7,3.9,1.4,versicolor,0.373367963
5,2,3.5,1,versicolor,0.598559062
